X[s],"R GASTROCNEMIUS LATERAL HEAD: EMG 13",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.X",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Y",X[s],"R GASTROCNEMIUS LATERAL HEAD: Acc 13.Z",X[s],"R GASTROCNEMIUS MEDIAL HEAD: EMG 14",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.X",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Y",X[s],"R GASTROCNEMIUS MEDIAL HEAD: Acc 14.Z"
0.07009616,-1.15816E-05,0.91125,0.8580453,0.91125,-0.2417029,0.91125,0.08459602,0.07009616,8.89601E-06,0.91125,0.9506981,0.91125,0.1329366,0.91125,0.306157
0.07061539,-8.89601E-06,0.918,0.8701304,0.918,-0.2497597,0.918,0.0886244,0.07061539,7.553216E-06,0.918,0.9547265,0.918,0.1329366,0.918,0.306157
0.07113462,-8.224613E-06,0.92475,0.8620737,0.92475,-0.2457313,0.92475,0.08056764,0.07113462,7.385367E-06,0.92475,0.9547265,0.92475,0.1248798,0.92475,0.3142138
0.07165385,-9.231708E-06,0.9315,0.8580453,0.9315,-0.2457313,0.9315,0.08459602,0.07165385,1.05745E-05,0.9315,0.9466697,0.9315,0.1289082,0.9315,0.306157
0.07217308,-1.141375E-05,0.93825,0.8540169,0.93825,-0.2457313,0.93825,0.0886244,0.07217308,1.05745E-05,0.93825,0.9547265,0.93825,0.1289082,0.93825,0.306157
0.0726923,-1.141375E-05,0.945,0.8620737,0.945,-0.2417029,0.945,0.08056764,0.0726923,9.567407E-06,0.945,0.9627832,0.945,0.1289082,0.945,0.3101854
0.07321154,-1.02388E-05,0.95175,0.8580453,0.95175,-0.2457313,0.95175,0.08056764,0.07321154,8.224613E-06,0.95175,0.9547265,0.95175,0.1289082,0.95175,0.306157
0.07373077,-9.399557E-06,0.9585,0.866102,0.9585,-0.2457313,0.9585,0.0886244,0.07373077,7.888914E-06,0.9585,0.9587549,0.9585,0.1289082,0.9585,0.3101854
0.07425,-9.903106E-06,0.96525,0.8580453,0.96525,-0.2376745,0.96525,0.0886244,0.07425,8.224613E-06,0.96525,0.9587549,0.96525,0.1168231,0.96525,0.3021286
0.07476923,-1.12459E-05,0.972,0.8620737,0.972,-0.2376745,0.972,0.08459602,0.07476923,8.560311E-06,0.972,0.9668117,0.972,0.1248798,0.972,0.2981002
